Liabilities	Liabilities	Liabilities	Liabilities	Liabilities	Liabilities		
Farm Type	Average interest paid as a proportion of FBI (%)	95% Confidence Interval (%) (±)					
Dairy	9	2					
LFA Grazing Livestock	7	2					
Lowland Grazing Livestock	7	2					
Cereals	5	1					
General cropping	6	2					
Pigs&Poultry	13	7					
Mixed	6	2					
Horticulture	7	3					
Distribution of net interest payments as a proportion of Farm Business Income by farm type	Distribution of net interest payments as a proportion of Farm Business Income by farm type	Distribution of net interest payments as a proportion of Farm Business Income by farm type	Distribution of net interest payments as a proportion of Farm Business Income by farm type	Distribution of net interest payments as a proportion of Farm Business Income by farm type	Distribution of net interest payments as a proportion of Farm Business Income by farm type	Distribution of net interest payments as a proportion of Farm Business Income by farm type	Distribution of net interest payments as a proportion of Farm Business Income by farm type
	Percentage of farm businesses						
	Interest Payments as a percentage of Farm Business Income						
Farm Type	Interest received or no interest	Negative Farm Business Income	<5%	5%-<10%	10%-<20%	20%-<50%	50%+
Dairy	21	3	29	14	15	11	7
LFA Grazing Livestock	26	5	35	8	9	9	8
Lowland Grazing Livestock	33	8	23	11	14	6	4
Cereals (a)	30		44	10	8	6	3
General Cropping (a)	33		35	15	10	3	5
Pigs & Poultry	21	12	26	9	7	15	10
Mixed	24	9	31	10	12	9	5
Horticulture	42	9	17	9	8	5	10
Net interest payments as a proportion of Farm Business Income by farm  size	Net interest payments as a proportion of Farm Business Income by farm  size	Net interest payments as a proportion of Farm Business Income by farm  size					
Farm Size	Average interest paid as a proportion of FBI (%)	95% Confidence Interval (%) (±)					
Spare & part-time	5	3					
Small	5	1					
Medium	5	2					
Large	7	2					
Very large	8	2					
Distribution of net interest payments as a proportion of Farm Business Income by farm size	Distribution of net interest payments as a proportion of Farm Business Income by farm size	Distribution of net interest payments as a proportion of Farm Business Income by farm size	Distribution of net interest payments as a proportion of Farm Business Income by farm size	Distribution of net interest payments as a proportion of Farm Business Income by farm size	Distribution of net interest payments as a proportion of Farm Business Income by farm size	Distribution of net interest payments as a proportion of Farm Business Income by farm size	Distribution of net interest payments as a proportion of Farm Business Income by farm size
	Percentage of farm businesses						
	Interest Payments as a percentage of Farm Business Income						
Farm Size	Interest received or no interest	Negative FBI	<5%	5%-<10%	10%-<20%	20%-<50%	50%+
Spare & part-time	39	6	27	7	11	5	4
Small	31	7	28	11	9	8	6
Medium	24	4	40	12	8	6	6
Large	20	4	34	15	12	8	6
Very large	15	3	38	13	15	12	5
Net interest payments as a proportion of Farm Business Income by farm tenure	Net interest payments as a proportion of Farm Business Income by farm tenure	Net interest payments as a proportion of Farm Business Income by farm tenure					
Farm Tenure	Average interest paid as a proportion of FBI (%)	95% Confidence Interval (%) (±)					
Owner occupied	9	2					
Mixed - mainly owner occupied	5	1					
Mixed - mainly tenanted	6	1					
Tenanted	5	1					
