,,,,,,,,
New Table 02,"Occupational distribution of employees in the federal jurisdiction by gender, employer size and industry, December 2015",,,,,,,
Size of the company,"Industry
",Occupation,Number of employees,,,,,
,,,Male,Quality indicator,Female,Quality indicator,Total,Quality indicator
,,,SUM,,SUM,,SUM,
,,Technical / Trades,848,B,24,C,873,B
,,"Marketing, sales and services",132,D,X,X,X,X
,,Clerical / Administrative,612,C,"1,307",C,"1,919",C
,,Truck and bus drivers / Manual labourer with no trade certification,"13,125",B,482,B,"13,607",B
,,Other Occupations,X,X,X,X,X,X
,Maritime transportation,All occupations,"1,800",B,300,D,"2,000",B
,,Senior managers,57,C,9,E,66,C
,,Middle and other managers,140,C,35,E,175,C
,,Supervisors,166,D,17,F,183,D
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,69,D,114,D,184,C
,,Truck and bus drivers / Manual labourer with no trade certification,549,D,X,X,X,X
,,Other Occupations,429,D,23,E,453,D
,Postal and pipelines,All occupations,X,X,X,X,700,D
,,Senior managers,27,D,X,X,X,X
,,Middle and other managers,X,X,X,X,44,D
,,Supervisors,27,D,11,E,38,D
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,90,D
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,349,D
,,Other Occupations,X,X,X,X,X,X
,Banks,All occupations,300,C,400,C,700,C
,,Senior managers,48,C,X,X,X,X
,,Middle and other managers,65,C,52,C,117,C
,,Supervisors,11,D,22,E,34,E
,,Professionals,X,X,X,X,138,D
,,Technical / Trades,X,X,9,F,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,0,,0,,0,
,,Other Occupations,X,X,X,X,X,X
,"Feed, flour, seed and grain",All occupations,"1,800",C,400,C,"2,200",C
,,Senior managers,79,C,X,X,X,X
,,Middle and other managers,X,X,30,C,X,X
,,Supervisors,X,X,23,D,X,X
,,Professionals,54,D,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,211,C
,,Truck and bus drivers / Manual labourer with no trade certification,"1,166",C,76,C,"1,243",C
,,Other Occupations,X,X,X,X,X,X
,Telecommunications and broadcasting,All occupations,"2,300",B,"1,400",B,"3,700",B
,,Senior managers,145,B,54,B,199,B
,,Middle and other managers,165,B,90,B,255,B
,,Supervisors,110,B,55,B,165,B
,,Professionals,196,C,111,C,306,C
,,Technical / Trades,587,B,134,C,720,B
,,"Marketing, sales and services",461,B,328,B,788,B
,,Clerical / Administrative,203,C,418,B,620,C
,,Truck and bus drivers / Manual labourer with no trade certification,31,E,7,E,38,D
,,Other Occupations,415,B,207,C,621,B
,Other,All occupations,"1,100",D,900,C,"2,000",C
,,Senior managers,131,D,X,X,X,X
,,Middle and other managers,128,D,80,D,208,D
,,Supervisors,X,X,X,X,169,E
,,Professionals,288,D,210,D,499,D
,,Technical / Trades,X,X,X,X,310,E
,,"Marketing, sales and services",X,X,X,X,81,E
,,Clerical / Administrative,15,F,188,D,203,D
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
100 or more employees,All industries,All occupations,"460,600",A,"317,600",A,"778,200",A
,,Senior managers,"10,278",B,"4,086",B,"14,365",B
,,Middle and other managers,"45,484",A,"29,562",A,"75,048",A
,,Supervisors,"22,574",B,"20,706",B,"43,280",B
,,Professionals,"80,766",B,"64,666",A,"145,430",A
,,Technical / Trades,"86,691",B,"20,068",B,"106,763",B
,,"Marketing, sales and services","37,028",A,"67,357",A,"104,389",A
,,Clerical / Administrative,"43,092",C,"67,920",A,"111,015",B
,,Truck and bus drivers / Manual labourer with no trade certification,"85,210",B,"9,682",C,"94,891",B
,,Other Occupations,"49,448",D,"33,547",D,"82,994",C
,Air transportation,All occupations,X,X,X,X,X,X
,,Senior managers,"1,065",B,240,C,"1,305",B
,,Middle and other managers,"5,240",E,"1,186",C,"6,426",D
,,Supervisors,"2,237",D,631,C,"2,867",C
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,"5,488",C
,,Other Occupations,X,X,X,X,X,X
,Rail transportation,All occupations,X,X,X,X,X,X
